ticker,date,period_ending,estimate,reported,surprise,surprise%
LNTH,04-AUG-22,Jun 2022,0.7,0.89,0.19,27.14
PINC,16-AUG-22,Jun 2022,0.6,0.61,0.01,1.67
ALKS,27-JUL-22,Jun 2022,0.04,0.06,0.02,50.0
IART,27-JUL-22,Jun 2022,0.8,0.82,0.02,2.5
NARI,03-AUG-22,Jun 2022,-0.23,-0.19,0.04,17.39
MMSI,27-JUL-22,Jun 2022,0.58,0.73,0.15,25.86
TXG,08-AUG-22,Jun 2022,-0.4,-0.57,-0.17,-42.5
ARWR,04-AUG-22,Jun 2022,-0.45,-0.68,-0.23,-51.11
AGL,04-AUG-22,Jun 2022,-0.02,-0.04,-0.02,-100.0
SYNH,02-AUG-22,Jun 2022,1.2,1.25,0.05,4.17
NTRA,04-AUG-22,Jun 2022,-1.47,-1.5,-0.03,-2.04
ONEM,03-AUG-22,Jun 2022,-0.48,-0.48,0.0,0.0
AXNX,01-AUG-22,Jun 2022,-0.57,-0.47,0.1,17.54
CYTK,04-AUG-22,Jun 2022,-1.04,-0.23,0.81,77.88
ICUI,08-AUG-22,Jun 2022,1.69,1.37,-0.32,-18.93
PCVX,08-AUG-22,Jun 2022,-0.69,-0.8,-0.11,-15.94
STAA,10-AUG-22,Jun 2022,0.25,0.42,0.17,68.0
PGNY,04-AUG-22,Jun 2022,0.02,0.09,0.07,350.0
PBH,04-AUG-22,Jun 2022,1.03,1.09,0.06,5.83
AMED,27-JUL-22,Jun 2022,1.23,1.47,0.24,19.51
IRTC,04-AUG-22,Jun 2022,-0.94,-0.79,0.15,15.96
FOLD,04-AUG-22,Jun 2022,-0.23,-0.21,0.02,8.7
BEAM,09-AUG-22,Jun 2022,-1.08,-1.02,0.06,5.56
MRTX,03-AUG-22,Jun 2022,-3.53,-3.18,0.35,9.92
PTCT,04-AUG-22,Jun 2022,-1.67,-2.13,-0.46,-27.54
ABCL,09-AUG-22,Jun 2022,0.04,-0.02,-0.06,-150.0
DNLI,08-AUG-22,Jun 2022,-0.52,-0.48,0.04,7.69
SEM,04-AUG-22,Jun 2022,0.51,0.43,-0.08,-15.69
OSH,02-AUG-22,Jun 2022,-0.49,-0.66,-0.17,-34.69
LIVN,03-AUG-22,Jun 2022,0.51,0.53,0.02,3.92
BPMC,02-AUG-22,Jun 2022,-2.23,-2.68,-0.45,-20.18
CNMD,27-JUL-22,Jun 2022,0.76,0.76,0.0,0.0
ITGR,28-JUL-22,Jun 2022,1.18,1.04,-0.14,-11.86
TNDM,03-AUG-22,Jun 2022,0.03,-0.24,-0.27,-900.0
RARE,28-JUL-22,Jun 2022,-1.72,-2.26,-0.54,-31.4
PCRX,03-AUG-22,Jun 2022,0.81,0.51,-0.3,-37.04
PDCO,01-SEP-22,Jul 2022,0.38,0.32,-0.06,-15.79
GKOS,03-AUG-22,Jun 2022,-0.44,-0.83,-0.39,-88.64
INSM,04-AUG-22,Jun 2022,-0.89,-0.8,0.09,10.11
BCRX,04-AUG-22,Jun 2022,-0.36,-0.32,0.04,11.11
CORT,03-AUG-22,Jun 2022,0.25,0.24,-0.01,-4.0
MDRX,04-AUG-22,Jun 2022,0.16,0.18,0.02,12.5
OMCL,04-AUG-22,Jun 2022,0.85,0.84,-0.01,-1.18
ISEE,26-JUL-22,Jun 2022,-0.31,-0.41,-0.1,-32.26
PACB,03-AUG-22,Jun 2022,-0.34,-0.34,0.0,0.0
EVH,02-AUG-22,Jun 2022,0.03,0.1,0.07,233.33
NUVA,03-AUG-22,Jun 2022,0.55,0.47,-0.08,-14.55
PRTA,08-AUG-22,Jun 2022,-0.51,-0.88,-0.37,-72.55
ARVN,04-AUG-22,Jun 2022,-1.02,-1.32,-0.3,-29.41
NEOG,26-JUL-22,May 2022,0.16,0.18,0.02,12.5
ATRC,02-AUG-22,Jun 2022,-0.3,-0.32,-0.02,-6.67
SGFY,03-AUG-22,Jun 2022,0.1,0.23,0.13,130.0
TWST,05-AUG-22,Jun 2022,-1.3,-1.08,0.22,16.92
CLDX,08-AUG-22,Jun 2022,-0.43,-0.58,-0.15,-34.88
ACAD,08-AUG-22,Jun 2022,-0.25,-0.21,0.04,16.0
VCYT,02-AUG-22,Jun 2022,-0.21,-0.13,0.08,38.1
SAGE,02-AUG-22,Jun 2022,-2.16,-2.13,0.03,1.39
MYGN,04-AUG-22,Jun 2022,0.02,0.04,0.02,100.0
AGIO,04-AUG-22,Jun 2022,-1.78,-1.68,0.1,5.62
IRWD,04-AUG-22,Jun 2022,0.31,0.21,-0.1,-32.26
XNCR,03-AUG-22,Jun 2022,-0.45,-0.57,-0.12,-26.67
AHCO,09-AUG-22,Jun 2022,0.28,0.18,-0.1,-35.71
KRYS,08-AUG-22,Jun 2022,-1.08,-1.1,-0.02,-1.85
SILK,26-JUL-22,Jun 2022,-0.47,-0.44,0.03,6.38
SUPN,04-AUG-22,Jun 2022,0.3,0.14,-0.16,-53.33
MRVI,04-AUG-22,Jun 2022,0.45,0.54,0.09,20.0
CERE,01-AUG-22,Jun 2022,-0.5,-0.61,-0.11,-22.0
NVAX,08-AUG-22,Jun 2022,5.51,-6.53,-12.04,-218.51
HRMY,02-AUG-22,Jun 2022,0.4,0.57,0.17,42.5
CERT,09-AUG-22,Jun 2022,0.11,0.09,-0.02,-18.18
FATE,03-AUG-22,Jun 2022,-0.86,-0.79,0.07,8.14
OMI,03-AUG-22,Jun 2022,0.76,0.76,0.0,0.0
TMDX,01-AUG-22,Jun 2022,-0.32,-0.41,-0.09,-28.13
AXSM,09-AUG-22,Jun 2022,-1.19,-1.06,0.13,10.92
RLAY,04-AUG-22,Jun 2022,-0.62,-0.71,-0.09,-14.52
CCRN,03-AUG-22,Jun 2022,1.35,1.4,0.05,3.7
NVRO,03-AUG-22,Jun 2022,-0.81,-0.71,0.1,12.35
RVNC,09-AUG-22,Jun 2022,-0.91,-0.88,0.03,3.3
RXDX,11-AUG-22,Jun 2022,-0.92,-0.86,0.06,6.52
CPRX,09-AUG-22,Jun 2022,0.17,0.2,0.03,17.65
ADUS,01-AUG-22,Jun 2022,0.9,0.91,0.01,1.11
DVAX,04-AUG-22,Jun 2022,0.22,0.86,0.64,290.91
FGEN,08-AUG-22,Jun 2022,-0.94,-0.78,0.16,17.02
AKRO,04-AUG-22,Jun 2022,-0.85,-0.77,0.08,9.41
RVMD,09-AUG-22,Jun 2022,-0.87,-0.82,0.05,5.75
SAVA,03-AUG-22,Jun 2022,-0.42,-0.48,-0.06,-14.29
SDGR,04-AUG-22,Jun 2022,-0.61,-0.62,-0.01,-1.64
